DUTS-TR-Image\0001.jpg DUTS-TR-Mask\0001.png
DUTS-TR-Image\0085.jpg DUTS-TR-Mask\0085.png
DUTS-TR-Image\0086.jpg DUTS-TR-Mask\0086.png
DUTS-TR-Image\0087.jpg DUTS-TR-Mask\0087.png
DUTS-TR-Image\0088.jpg DUTS-TR-Mask\0088.png
DUTS-TR-Image\0089.jpg DUTS-TR-Mask\0089.png
DUTS-TR-Image\0091.jpg DUTS-TR-Mask\0091.png
DUTS-TR-Image\0092.jpg DUTS-TR-Mask\0092.png
DUTS-TR-Image\0093.jpg DUTS-TR-Mask\0093.png
DUTS-TR-Image\0095.jpg DUTS-TR-Mask\0095.png
DUTS-TR-Image\0097.jpg DUTS-TR-Mask\0097.png
DUTS-TR-Image\0098.jpg DUTS-TR-Mask\0098.png
DUTS-TR-Image\0100.jpg DUTS-TR-Mask\0100.png
DUTS-TR-Image\0101.jpg DUTS-TR-Mask\0101.png
DUTS-TR-Image\0103.jpg DUTS-TR-Mask\0103.png
DUTS-TR-Image\0104.jpg DUTS-TR-Mask\0104.png
DUTS-TR-Image\0105.jpg DUTS-TR-Mask\0105.png
DUTS-TR-Image\0106.jpg DUTS-TR-Mask\0106.png
DUTS-TR-Image\0107.jpg DUTS-TR-Mask\0107.png
DUTS-TR-Image\0108.jpg DUTS-TR-Mask\0108.png
DUTS-TR-Image\0109.jpg DUTS-TR-Mask\0109.png
DUTS-TR-Image\0110.jpg DUTS-TR-Mask\0110.png
DUTS-TR-Image\0112.jpg DUTS-TR-Mask\0112.png
DUTS-TR-Image\0114.jpg DUTS-TR-Mask\0114.png
DUTS-TR-Image\0115.jpg DUTS-TR-Mask\0115.png
DUTS-TR-Image\0117.jpg DUTS-TR-Mask\0117.png
DUTS-TR-Image\0118.jpg DUTS-TR-Mask\0118.png
DUTS-TR-Image\0119.jpg DUTS-TR-Mask\0119.png
DUTS-TR-Image\0120.jpg DUTS-TR-Mask\0120.png
DUTS-TR-Image\0123.jpg DUTS-TR-Mask\0123.png
DUTS-TR-Image\0124.jpg DUTS-TR-Mask\0124.png
DUTS-TR-Image\0125.jpg DUTS-TR-Mask\0125.png
DUTS-TR-Image\0126.jpg DUTS-TR-Mask\0126.png
DUTS-TR-Image\0127.jpg DUTS-TR-Mask\0127.png
DUTS-TR-Image\0129.jpg DUTS-TR-Mask\0129.png
DUTS-TR-Image\0130.jpg DUTS-TR-Mask\0130.png
DUTS-TR-Image\0132.jpg DUTS-TR-Mask\0132.png
DUTS-TR-Image\0134.jpg DUTS-TR-Mask\0134.png
DUTS-TR-Image\0136.jpg DUTS-TR-Mask\0136.png
DUTS-TR-Image\0138.jpg DUTS-TR-Mask\0138.png
DUTS-TR-Image\0139.jpg DUTS-TR-Mask\0139.png
DUTS-TR-Image\0140.jpg DUTS-TR-Mask\0140.png
DUTS-TR-Image\0142.jpg DUTS-TR-Mask\0142.png
DUTS-TR-Image\0145.jpg DUTS-TR-Mask\0145.png
DUTS-TR-Image\0146.jpg DUTS-TR-Mask\0146.png
DUTS-TR-Image\0148.jpg DUTS-TR-Mask\0148.png
DUTS-TR-Image\0149.jpg DUTS-TR-Mask\0149.png
DUTS-TR-Image\0150.jpg DUTS-TR-Mask\0150.png
DUTS-TR-Image\0151.jpg DUTS-TR-Mask\0151.png
DUTS-TR-Image\0153.jpg DUTS-TR-Mask\0153.png
DUTS-TR-Image\0154.jpg DUTS-TR-Mask\0154.png
DUTS-TR-Image\0155.jpg DUTS-TR-Mask\0155.png
DUTS-TR-Image\0156.jpg DUTS-TR-Mask\0156.png
DUTS-TR-Image\0159.jpg DUTS-TR-Mask\0159.png
DUTS-TR-Image\0160.jpg DUTS-TR-Mask\0160.png
DUTS-TR-Image\0161.jpg DUTS-TR-Mask\0161.png
DUTS-TR-Image\0163.jpg DUTS-TR-Mask\0163.png
DUTS-TR-Image\0164.jpg DUTS-TR-Mask\0164.png
DUTS-TR-Image\0165.jpg DUTS-TR-Mask\0165.png
DUTS-TR-Image\0166.jpg DUTS-TR-Mask\0166.png
DUTS-TR-Image\0168.jpg DUTS-TR-Mask\0168.png
DUTS-TR-Image\0169.jpg DUTS-TR-Mask\0169.png
DUTS-TR-Image\0171.jpg DUTS-TR-Mask\0171.png
DUTS-TR-Image\0173.jpg DUTS-TR-Mask\0173.png
DUTS-TR-Image\0174.jpg DUTS-TR-Mask\0174.png
DUTS-TR-Image\0175.jpg DUTS-TR-Mask\0175.png
DUTS-TR-Image\0176.jpg DUTS-TR-Mask\0176.png
DUTS-TR-Image\0177.jpg DUTS-TR-Mask\0177.png
DUTS-TR-Image\0178.jpg DUTS-TR-Mask\0178.png
DUTS-TR-Image\0181.jpg DUTS-TR-Mask\0181.png
DUTS-TR-Image\0182.jpg DUTS-TR-Mask\0182.png
DUTS-TR-Image\0183.jpg DUTS-TR-Mask\0183.png
DUTS-TR-Image\0184.jpg DUTS-TR-Mask\0184.png
DUTS-TR-Image\0185.jpg DUTS-TR-Mask\0185.png
DUTS-TR-Image\0186.jpg DUTS-TR-Mask\0186.png
DUTS-TR-Image\0188.jpg DUTS-TR-Mask\0188.png
DUTS-TR-Image\0189.jpg DUTS-TR-Mask\0189.png
DUTS-TR-Image\0190.jpg DUTS-TR-Mask\0190.png
DUTS-TR-Image\0191.jpg DUTS-TR-Mask\0191.png
DUTS-TR-Image\0192.jpg DUTS-TR-Mask\0192.png
DUTS-TR-Image\0193.jpg DUTS-TR-Mask\0193.png
DUTS-TR-Image\0194.jpg DUTS-TR-Mask\0194.png
DUTS-TR-Image\0195.jpg DUTS-TR-Mask\0195.png
DUTS-TR-Image\0197.jpg DUTS-TR-Mask\0197.png
DUTS-TR-Image\0198.jpg DUTS-TR-Mask\0198.png
DUTS-TR-Image\0200.jpg DUTS-TR-Mask\0200.png
DUTS-TR-Image\0202.jpg DUTS-TR-Mask\0202.png
DUTS-TR-Image\0205.jpg DUTS-TR-Mask\0205.png
DUTS-TR-Image\0206.jpg DUTS-TR-Mask\0206.png
DUTS-TR-Image\0207.jpg DUTS-TR-Mask\0207.png
DUTS-TR-Image\0208.jpg DUTS-TR-Mask\0208.png
DUTS-TR-Image\0209.jpg DUTS-TR-Mask\0209.png
DUTS-TR-Image\0210.jpg DUTS-TR-Mask\0210.png
DUTS-TR-Image\0211.jpg DUTS-TR-Mask\0211.png
DUTS-TR-Image\0213.jpg DUTS-TR-Mask\0213.png
DUTS-TR-Image\0214.jpg DUTS-TR-Mask\0214.png
DUTS-TR-Image\0215.jpg DUTS-TR-Mask\0215.png
DUTS-TR-Image\0216.jpg DUTS-TR-Mask\0216.png
DUTS-TR-Image\0217.jpg DUTS-TR-Mask\0217.png
DUTS-TR-Image\0218.jpg DUTS-TR-Mask\0218.png
DUTS-TR-Image\0220.jpg DUTS-TR-Mask\0220.png
DUTS-TR-Image\0221.jpg DUTS-TR-Mask\0221.png
DUTS-TR-Image\0222.jpg DUTS-TR-Mask\0222.png
DUTS-TR-Image\0223.jpg DUTS-TR-Mask\0223.png
DUTS-TR-Image\0225.jpg DUTS-TR-Mask\0225.png
DUTS-TR-Image\0226.jpg DUTS-TR-Mask\0226.png
DUTS-TR-Image\0228.jpg DUTS-TR-Mask\0228.png
DUTS-TR-Image\0229.jpg DUTS-TR-Mask\0229.png
DUTS-TR-Image\0230.jpg DUTS-TR-Mask\0230.png
DUTS-TR-Image\0231.jpg DUTS-TR-Mask\0231.png
DUTS-TR-Image\0232.jpg DUTS-TR-Mask\0232.png
DUTS-TR-Image\0233.jpg DUTS-TR-Mask\0233.png
DUTS-TR-Image\0234.jpg DUTS-TR-Mask\0234.png
DUTS-TR-Image\0238.jpg DUTS-TR-Mask\0238.png
DUTS-TR-Image\0239.jpg DUTS-TR-Mask\0239.png
DUTS-TR-Image\0240.jpg DUTS-TR-Mask\0240.png
DUTS-TR-Image\0241.jpg DUTS-TR-Mask\0241.png
DUTS-TR-Image\0244.jpg DUTS-TR-Mask\0244.png
DUTS-TR-Image\0245.jpg DUTS-TR-Mask\0245.png
DUTS-TR-Image\0246.jpg DUTS-TR-Mask\0246.png
DUTS-TR-Image\0247.jpg DUTS-TR-Mask\0247.png
DUTS-TR-Image\0248.jpg DUTS-TR-Mask\0248.png
DUTS-TR-Image\0249.jpg DUTS-TR-Mask\0249.png
DUTS-TR-Image\0250.jpg DUTS-TR-Mask\0250.png
DUTS-TR-Image\0251.jpg DUTS-TR-Mask\0251.png
DUTS-TR-Image\0252.jpg DUTS-TR-Mask\0252.png
DUTS-TR-Image\0253.jpg DUTS-TR-Mask\0253.png
DUTS-TR-Image\0256.jpg DUTS-TR-Mask\0256.png
DUTS-TR-Image\0257.jpg DUTS-TR-Mask\0257.png
DUTS-TR-Image\0258.jpg DUTS-TR-Mask\0258.png
DUTS-TR-Image\0261.jpg DUTS-TR-Mask\0261.png
DUTS-TR-Image\0262.jpg DUTS-TR-Mask\0262.png
DUTS-TR-Image\0265.jpg DUTS-TR-Mask\0265.png
DUTS-TR-Image\0266.jpg DUTS-TR-Mask\0266.png
DUTS-TR-Image\0267.jpg DUTS-TR-Mask\0267.png
DUTS-TR-Image\0268.jpg DUTS-TR-Mask\0268.png
DUTS-TR-Image\0269.jpg DUTS-TR-Mask\0269.png
DUTS-TR-Image\0270.jpg DUTS-TR-Mask\0270.png
DUTS-TR-Image\0271.jpg DUTS-TR-Mask\0271.png
DUTS-TR-Image\0272.jpg DUTS-TR-Mask\0272.png
DUTS-TR-Image\0274.jpg DUTS-TR-Mask\0274.png
DUTS-TR-Image\0275.jpg DUTS-TR-Mask\0275.png
DUTS-TR-Image\0276.jpg DUTS-TR-Mask\0276.png
DUTS-TR-Image\0277.jpg DUTS-TR-Mask\0277.png
DUTS-TR-Image\0278.jpg DUTS-TR-Mask\0278.png
DUTS-TR-Image\0284.jpg DUTS-TR-Mask\0284.png
DUTS-TR-Image\0287.jpg DUTS-TR-Mask\0287.png
DUTS-TR-Image\0288.jpg DUTS-TR-Mask\0288.png
DUTS-TR-Image\0290.jpg DUTS-TR-Mask\0290.png
DUTS-TR-Image\0291.jpg DUTS-TR-Mask\0291.png
DUTS-TR-Image\0292.jpg DUTS-TR-Mask\0292.png
DUTS-TR-Image\0293.jpg DUTS-TR-Mask\0293.png
DUTS-TR-Image\0294.jpg DUTS-TR-Mask\0294.png
DUTS-TR-Image\0296.jpg DUTS-TR-Mask\0296.png
DUTS-TR-Image\0297.jpg DUTS-TR-Mask\0297.png
DUTS-TR-Image\0298.jpg DUTS-TR-Mask\0298.png
DUTS-TR-Image\0299.jpg DUTS-TR-Mask\0299.png
DUTS-TR-Image\0301.jpg DUTS-TR-Mask\0301.png
DUTS-TR-Image\0303.jpg DUTS-TR-Mask\0303.png
DUTS-TR-Image\0304.jpg DUTS-TR-Mask\0304.png
DUTS-TR-Image\0305.jpg DUTS-TR-Mask\0305.png
DUTS-TR-Image\0306.jpg DUTS-TR-Mask\0306.png
DUTS-TR-Image\0307.jpg DUTS-TR-Mask\0307.png
DUTS-TR-Image\0308.jpg DUTS-TR-Mask\0308.png
DUTS-TR-Image\0310.jpg DUTS-TR-Mask\0310.png
DUTS-TR-Image\0312.jpg DUTS-TR-Mask\0312.png
DUTS-TR-Image\0313.jpg DUTS-TR-Mask\0313.png
DUTS-TR-Image\0314.jpg DUTS-TR-Mask\0314.png
DUTS-TR-Image\0316.jpg DUTS-TR-Mask\0316.png
DUTS-TR-Image\0317.jpg DUTS-TR-Mask\0317.png
DUTS-TR-Image\0318.jpg DUTS-TR-Mask\0318.png
DUTS-TR-Image\0319.jpg DUTS-TR-Mask\0319.png
DUTS-TR-Image\0321.jpg DUTS-TR-Mask\0321.png
DUTS-TR-Image\0323.jpg DUTS-TR-Mask\0323.png
DUTS-TR-Image\0325.jpg DUTS-TR-Mask\0325.png
DUTS-TR-Image\0326.jpg DUTS-TR-Mask\0326.png
DUTS-TR-Image\0328.jpg DUTS-TR-Mask\0328.png
DUTS-TR-Image\0329.jpg DUTS-TR-Mask\0329.png
DUTS-TR-Image\0330.jpg DUTS-TR-Mask\0330.png
DUTS-TR-Image\0332.jpg DUTS-TR-Mask\0332.png
DUTS-TR-Image\0333.jpg DUTS-TR-Mask\0333.png
DUTS-TR-Image\0334.jpg DUTS-TR-Mask\0334.png
DUTS-TR-Image\0335.jpg DUTS-TR-Mask\0335.png
DUTS-TR-Image\0336.jpg DUTS-TR-Mask\0336.png
DUTS-TR-Image\0337.jpg DUTS-TR-Mask\0337.png
DUTS-TR-Image\0339.jpg DUTS-TR-Mask\0339.png
DUTS-TR-Image\0342.jpg DUTS-TR-Mask\0342.png
DUTS-TR-Image\0343.jpg DUTS-TR-Mask\0343.png
DUTS-TR-Image\0346.jpg DUTS-TR-Mask\0346.png
DUTS-TR-Image\0348.jpg DUTS-TR-Mask\0348.png
DUTS-TR-Image\0349.jpg DUTS-TR-Mask\0349.png
DUTS-TR-Image\0350.jpg DUTS-TR-Mask\0350.png
DUTS-TR-Image\0351.jpg DUTS-TR-Mask\0351.png
DUTS-TR-Image\0354.jpg DUTS-TR-Mask\0354.png
DUTS-TR-Image\0355.jpg DUTS-TR-Mask\0355.png
DUTS-TR-Image\0356.jpg DUTS-TR-Mask\0356.png
DUTS-TR-Image\0358.jpg DUTS-TR-Mask\0358.png
DUTS-TR-Image\0359.jpg DUTS-TR-Mask\0359.png
DUTS-TR-Image\0361.jpg DUTS-TR-Mask\0361.png
DUTS-TR-Image\0362.jpg DUTS-TR-Mask\0362.png
DUTS-TR-Image\0363.jpg DUTS-TR-Mask\0363.png
DUTS-TR-Image\0364.jpg DUTS-TR-Mask\0364.png
DUTS-TR-Image\0369.jpg DUTS-TR-Mask\0369.png
DUTS-TR-Image\0370.jpg DUTS-TR-Mask\0370.png
DUTS-TR-Image\0372.jpg DUTS-TR-Mask\0372.png
DUTS-TR-Image\0373.jpg DUTS-TR-Mask\0373.png
DUTS-TR-Image\0374.jpg DUTS-TR-Mask\0374.png
DUTS-TR-Image\0379.jpg DUTS-TR-Mask\0379.png
DUTS-TR-Image\0380.jpg DUTS-TR-Mask\0380.png
DUTS-TR-Image\0383.jpg DUTS-TR-Mask\0383.png
DUTS-TR-Image\0385.jpg DUTS-TR-Mask\0385.png
DUTS-TR-Image\0387.jpg DUTS-TR-Mask\0387.png
DUTS-TR-Image\0388.jpg DUTS-TR-Mask\0388.png
DUTS-TR-Image\0389.jpg DUTS-TR-Mask\0389.png
DUTS-TR-Image\0390.jpg DUTS-TR-Mask\0390.png
DUTS-TR-Image\0392.jpg DUTS-TR-Mask\0392.png
DUTS-TR-Image\0393.jpg DUTS-TR-Mask\0393.png
DUTS-TR-Image\0394.jpg DUTS-TR-Mask\0394.png
DUTS-TR-Image\0395.jpg DUTS-TR-Mask\0395.png
DUTS-TR-Image\0396.jpg DUTS-TR-Mask\0396.png
DUTS-TR-Image\0398.jpg DUTS-TR-Mask\0398.png
DUTS-TR-Image\0399.jpg DUTS-TR-Mask\0399.png
DUTS-TR-Image\0401.jpg DUTS-TR-Mask\0401.png
DUTS-TR-Image\0402.jpg DUTS-TR-Mask\0402.png
DUTS-TR-Image\0405.jpg DUTS-TR-Mask\0405.png
DUTS-TR-Image\0408.jpg DUTS-TR-Mask\0408.png
DUTS-TR-Image\0409.jpg DUTS-TR-Mask\0409.png
DUTS-TR-Image\0411.jpg DUTS-TR-Mask\0411.png
DUTS-TR-Image\0412.jpg DUTS-TR-Mask\0412.png
DUTS-TR-Image\0413.jpg DUTS-TR-Mask\0413.png
DUTS-TR-Image\0414.jpg DUTS-TR-Mask\0414.png
DUTS-TR-Image\0416.jpg DUTS-TR-Mask\0416.png
DUTS-TR-Image\0418.jpg DUTS-TR-Mask\0418.png
DUTS-TR-Image\0420.jpg DUTS-TR-Mask\0420.png
DUTS-TR-Image\0422.jpg DUTS-TR-Mask\0422.png
DUTS-TR-Image\0423.jpg DUTS-TR-Mask\0423.png
DUTS-TR-Image\0428.jpg DUTS-TR-Mask\0428.png
DUTS-TR-Image\0429.jpg DUTS-TR-Mask\0429.png
DUTS-TR-Image\0430.jpg DUTS-TR-Mask\0430.png
DUTS-TR-Image\0432.jpg DUTS-TR-Mask\0432.png
DUTS-TR-Image\0433.jpg DUTS-TR-Mask\0433.png
DUTS-TR-Image\0434.jpg DUTS-TR-Mask\0434.png
DUTS-TR-Image\0435.jpg DUTS-TR-Mask\0435.png
DUTS-TR-Image\0436.jpg DUTS-TR-Mask\0436.png
DUTS-TR-Image\0437.jpg DUTS-TR-Mask\0437.png
DUTS-TR-Image\0438.jpg DUTS-TR-Mask\0438.png
DUTS-TR-Image\0440.jpg DUTS-TR-Mask\0440.png
DUTS-TR-Image\0441.jpg DUTS-TR-Mask\0441.png
DUTS-TR-Image\0442.jpg DUTS-TR-Mask\0442.png
DUTS-TR-Image\0443.jpg DUTS-TR-Mask\0443.png
DUTS-TR-Image\0445.jpg DUTS-TR-Mask\0445.png
DUTS-TR-Image\0446.jpg DUTS-TR-Mask\0446.png
DUTS-TR-Image\0447.jpg DUTS-TR-Mask\0447.png
DUTS-TR-Image\0449.jpg DUTS-TR-Mask\0449.png
DUTS-TR-Image\0450.jpg DUTS-TR-Mask\0450.png
DUTS-TR-Image\0451.jpg DUTS-TR-Mask\0451.png
DUTS-TR-Image\0452.jpg DUTS-TR-Mask\0452.png
DUTS-TR-Image\0453.jpg DUTS-TR-Mask\0453.png
DUTS-TR-Image\0454.jpg DUTS-TR-Mask\0454.png
DUTS-TR-Image\0456.jpg DUTS-TR-Mask\0456.png
DUTS-TR-Image\0457.jpg DUTS-TR-Mask\0457.png
DUTS-TR-Image\0458.jpg DUTS-TR-Mask\0458.png
DUTS-TR-Image\0459.jpg DUTS-TR-Mask\0459.png
DUTS-TR-Image\0460.jpg DUTS-TR-Mask\0460.png
DUTS-TR-Image\0461.jpg DUTS-TR-Mask\0461.png
DUTS-TR-Image\0462.jpg DUTS-TR-Mask\0462.png
DUTS-TR-Image\0463.jpg DUTS-TR-Mask\0463.png
DUTS-TR-Image\0464.jpg DUTS-TR-Mask\0464.png
DUTS-TR-Image\0469.jpg DUTS-TR-Mask\0469.png
DUTS-TR-Image\0471.jpg DUTS-TR-Mask\0471.png
DUTS-TR-Image\0473.jpg DUTS-TR-Mask\0473.png
DUTS-TR-Image\0475.jpg DUTS-TR-Mask\0475.png
DUTS-TR-Image\0476.jpg DUTS-TR-Mask\0476.png
DUTS-TR-Image\0478.jpg DUTS-TR-Mask\0478.png
DUTS-TR-Image\0479.jpg DUTS-TR-Mask\0479.png
DUTS-TR-Image\0480.jpg DUTS-TR-Mask\0480.png
DUTS-TR-Image\0481.jpg DUTS-TR-Mask\0481.png
DUTS-TR-Image\0483.jpg DUTS-TR-Mask\0483.png
DUTS-TR-Image\0485.jpg DUTS-TR-Mask\0485.png
DUTS-TR-Image\0486.jpg DUTS-TR-Mask\0486.png
DUTS-TR-Image\0487.jpg DUTS-TR-Mask\0487.png
DUTS-TR-Image\0488.jpg DUTS-TR-Mask\0488.png
DUTS-TR-Image\0489.jpg DUTS-TR-Mask\0489.png
DUTS-TR-Image\0490.jpg DUTS-TR-Mask\0490.png
DUTS-TR-Image\0491.jpg DUTS-TR-Mask\0491.png
DUTS-TR-Image\0492.jpg DUTS-TR-Mask\0492.png
DUTS-TR-Image\0493.jpg DUTS-TR-Mask\0493.png
DUTS-TR-Image\0494.jpg DUTS-TR-Mask\0494.png
DUTS-TR-Image\0495.jpg DUTS-TR-Mask\0495.png
DUTS-TR-Image\0496.jpg DUTS-TR-Mask\0496.png
DUTS-TR-Image\0497.jpg DUTS-TR-Mask\0497.png
DUTS-TR-Image\0500.jpg DUTS-TR-Mask\0500.png
DUTS-TR-Image\0501.jpg DUTS-TR-Mask\0501.png
DUTS-TR-Image\0502.jpg DUTS-TR-Mask\0502.png
DUTS-TR-Image\0503.jpg DUTS-TR-Mask\0503.png
DUTS-TR-Image\0505.jpg DUTS-TR-Mask\0505.png
DUTS-TR-Image\0507.jpg DUTS-TR-Mask\0507.png
DUTS-TR-Image\0508.jpg DUTS-TR-Mask\0508.png
DUTS-TR-Image\0511.jpg DUTS-TR-Mask\0511.png
DUTS-TR-Image\0514.jpg DUTS-TR-Mask\0514.png
DUTS-TR-Image\0517.jpg DUTS-TR-Mask\0517.png
DUTS-TR-Image\0518.jpg DUTS-TR-Mask\0518.png
DUTS-TR-Image\0519.jpg DUTS-TR-Mask\0519.png
DUTS-TR-Image\0521.jpg DUTS-TR-Mask\0521.png
DUTS-TR-Image\0523.jpg DUTS-TR-Mask\0523.png
DUTS-TR-Image\0524.jpg DUTS-TR-Mask\0524.png
DUTS-TR-Image\0526.jpg DUTS-TR-Mask\0526.png
DUTS-TR-Image\0527.jpg DUTS-TR-Mask\0527.png
DUTS-TR-Image\0528.jpg DUTS-TR-Mask\0528.png
DUTS-TR-Image\0529.jpg DUTS-TR-Mask\0529.png
DUTS-TR-Image\0531.jpg DUTS-TR-Mask\0531.png
DUTS-TR-Image\0533.jpg DUTS-TR-Mask\0533.png
DUTS-TR-Image\0534.jpg DUTS-TR-Mask\0534.png
DUTS-TR-Image\0535.jpg DUTS-TR-Mask\0535.png
DUTS-TR-Image\0537.jpg DUTS-TR-Mask\0537.png
DUTS-TR-Image\0538.jpg DUTS-TR-Mask\0538.png
DUTS-TR-Image\0539.jpg DUTS-TR-Mask\0539.png
DUTS-TR-Image\0540.jpg DUTS-TR-Mask\0540.png
DUTS-TR-Image\0541.jpg DUTS-TR-Mask\0541.png
DUTS-TR-Image\0543.jpg DUTS-TR-Mask\0543.png
DUTS-TR-Image\0544.jpg DUTS-TR-Mask\0544.png
DUTS-TR-Image\0545.jpg DUTS-TR-Mask\0545.png
DUTS-TR-Image\0546.jpg DUTS-TR-Mask\0546.png
DUTS-TR-Image\0547.jpg DUTS-TR-Mask\0547.png
DUTS-TR-Image\0549.jpg DUTS-TR-Mask\0549.png
DUTS-TR-Image\0551.jpg DUTS-TR-Mask\0551.png
DUTS-TR-Image\0552.jpg DUTS-TR-Mask\0552.png
DUTS-TR-Image\0553.jpg DUTS-TR-Mask\0553.png
DUTS-TR-Image\0554.jpg DUTS-TR-Mask\0554.png
DUTS-TR-Image\0556.jpg DUTS-TR-Mask\0556.png
DUTS-TR-Image\0557.jpg DUTS-TR-Mask\0557.png
DUTS-TR-Image\0559.jpg DUTS-TR-Mask\0559.png
DUTS-TR-Image\0560.jpg DUTS-TR-Mask\0560.png
DUTS-TR-Image\0561.jpg DUTS-TR-Mask\0561.png
DUTS-TR-Image\0562.jpg DUTS-TR-Mask\0562.png
DUTS-TR-Image\0563.jpg DUTS-TR-Mask\0563.png
DUTS-TR-Image\0564.jpg DUTS-TR-Mask\0564.png
DUTS-TR-Image\0565.jpg DUTS-TR-Mask\0565.png
DUTS-TR-Image\0566.jpg DUTS-TR-Mask\0566.png
DUTS-TR-Image\0567.jpg DUTS-TR-Mask\0567.png
DUTS-TR-Image\0568.jpg DUTS-TR-Mask\0568.png
DUTS-TR-Image\0570.jpg DUTS-TR-Mask\0570.png
DUTS-TR-Image\0571.jpg DUTS-TR-Mask\0571.png
DUTS-TR-Image\0572.jpg DUTS-TR-Mask\0572.png
DUTS-TR-Image\0574.jpg DUTS-TR-Mask\0574.png
DUTS-TR-Image\0575.jpg DUTS-TR-Mask\0575.png
DUTS-TR-Image\0576.jpg DUTS-TR-Mask\0576.png
DUTS-TR-Image\0578.jpg DUTS-TR-Mask\0578.png
DUTS-TR-Image\0579.jpg DUTS-TR-Mask\0579.png
DUTS-TR-Image\0580.jpg DUTS-TR-Mask\0580.png
DUTS-TR-Image\0581.jpg DUTS-TR-Mask\0581.png
DUTS-TR-Image\0582.jpg DUTS-TR-Mask\0582.png
DUTS-TR-Image\0583.jpg DUTS-TR-Mask\0583.png
