DUTS-TR-Image\0001.jpg DUTS-TR-Contour\0001.png
DUTS-TR-Image\0308.jpg DUTS-TR-Contour\0308.png
DUTS-TR-Image\0310.jpg DUTS-TR-Contour\0310.png
DUTS-TR-Image\0312.jpg DUTS-TR-Contour\0312.png
DUTS-TR-Image\0313.jpg DUTS-TR-Contour\0313.png
DUTS-TR-Image\0314.jpg DUTS-TR-Contour\0314.png
DUTS-TR-Image\0316.jpg DUTS-TR-Contour\0316.png
DUTS-TR-Image\0317.jpg DUTS-TR-Contour\0317.png
DUTS-TR-Image\0318.jpg DUTS-TR-Contour\0318.png
DUTS-TR-Image\0319.jpg DUTS-TR-Contour\0319.png
DUTS-TR-Image\0321.jpg DUTS-TR-Contour\0321.png
DUTS-TR-Image\0323.jpg DUTS-TR-Contour\0323.png
DUTS-TR-Image\0325.jpg DUTS-TR-Contour\0325.png
DUTS-TR-Image\0326.jpg DUTS-TR-Contour\0326.png
DUTS-TR-Image\0328.jpg DUTS-TR-Contour\0328.png
DUTS-TR-Image\0329.jpg DUTS-TR-Contour\0329.png
DUTS-TR-Image\0330.jpg DUTS-TR-Contour\0330.png
DUTS-TR-Image\0332.jpg DUTS-TR-Contour\0332.png
DUTS-TR-Image\0333.jpg DUTS-TR-Contour\0333.png
DUTS-TR-Image\0334.jpg DUTS-TR-Contour\0334.png
DUTS-TR-Image\0335.jpg DUTS-TR-Contour\0335.png
DUTS-TR-Image\0336.jpg DUTS-TR-Contour\0336.png
DUTS-TR-Image\0337.jpg DUTS-TR-Contour\0337.png
DUTS-TR-Image\0339.jpg DUTS-TR-Contour\0339.png
DUTS-TR-Image\0342.jpg DUTS-TR-Contour\0342.png
DUTS-TR-Image\0343.jpg DUTS-TR-Contour\0343.png
DUTS-TR-Image\0346.jpg DUTS-TR-Contour\0346.png
DUTS-TR-Image\0348.jpg DUTS-TR-Contour\0348.png
DUTS-TR-Image\0349.jpg DUTS-TR-Contour\0349.png
DUTS-TR-Image\0350.jpg DUTS-TR-Contour\0350.png
DUTS-TR-Image\0351.jpg DUTS-TR-Contour\0351.png
DUTS-TR-Image\0354.jpg DUTS-TR-Contour\0354.png
DUTS-TR-Image\0355.jpg DUTS-TR-Contour\0355.png
DUTS-TR-Image\0356.jpg DUTS-TR-Contour\0356.png
DUTS-TR-Image\0358.jpg DUTS-TR-Contour\0358.png
DUTS-TR-Image\0359.jpg DUTS-TR-Contour\0359.png
DUTS-TR-Image\0361.jpg DUTS-TR-Contour\0361.png
DUTS-TR-Image\0362.jpg DUTS-TR-Contour\0362.png
DUTS-TR-Image\0363.jpg DUTS-TR-Contour\0363.png
DUTS-TR-Image\0364.jpg DUTS-TR-Contour\0364.png
DUTS-TR-Image\0369.jpg DUTS-TR-Contour\0369.png
DUTS-TR-Image\0370.jpg DUTS-TR-Contour\0370.png
DUTS-TR-Image\0372.jpg DUTS-TR-Contour\0372.png
DUTS-TR-Image\0373.jpg DUTS-TR-Contour\0373.png
DUTS-TR-Image\0374.jpg DUTS-TR-Contour\0374.png
DUTS-TR-Image\0379.jpg DUTS-TR-Contour\0379.png
DUTS-TR-Image\0380.jpg DUTS-TR-Contour\0380.png
DUTS-TR-Image\0383.jpg DUTS-TR-Contour\0383.png
DUTS-TR-Image\0385.jpg DUTS-TR-Contour\0385.png
DUTS-TR-Image\0387.jpg DUTS-TR-Contour\0387.png
DUTS-TR-Image\0388.jpg DUTS-TR-Contour\0388.png
DUTS-TR-Image\0389.jpg DUTS-TR-Contour\0389.png
DUTS-TR-Image\0390.jpg DUTS-TR-Contour\0390.png
DUTS-TR-Image\0392.jpg DUTS-TR-Contour\0392.png
DUTS-TR-Image\0393.jpg DUTS-TR-Contour\0393.png
DUTS-TR-Image\0394.jpg DUTS-TR-Contour\0394.png
DUTS-TR-Image\0395.jpg DUTS-TR-Contour\0395.png
DUTS-TR-Image\0396.jpg DUTS-TR-Contour\0396.png
DUTS-TR-Image\0398.jpg DUTS-TR-Contour\0398.png
DUTS-TR-Image\0399.jpg DUTS-TR-Contour\0399.png
DUTS-TR-Image\0401.jpg DUTS-TR-Contour\0401.png
DUTS-TR-Image\0402.jpg DUTS-TR-Contour\0402.png
DUTS-TR-Image\0405.jpg DUTS-TR-Contour\0405.png
DUTS-TR-Image\0408.jpg DUTS-TR-Contour\0408.png
DUTS-TR-Image\0409.jpg DUTS-TR-Contour\0409.png
DUTS-TR-Image\0411.jpg DUTS-TR-Contour\0411.png
DUTS-TR-Image\0412.jpg DUTS-TR-Contour\0412.png
DUTS-TR-Image\0413.jpg DUTS-TR-Contour\0413.png
DUTS-TR-Image\0414.jpg DUTS-TR-Contour\0414.png
DUTS-TR-Image\0416.jpg DUTS-TR-Contour\0416.png
DUTS-TR-Image\0418.jpg DUTS-TR-Contour\0418.png
DUTS-TR-Image\0420.jpg DUTS-TR-Contour\0420.png
DUTS-TR-Image\0422.jpg DUTS-TR-Contour\0422.png
DUTS-TR-Image\0423.jpg DUTS-TR-Contour\0423.png
DUTS-TR-Image\0428.jpg DUTS-TR-Contour\0428.png
DUTS-TR-Image\0429.jpg DUTS-TR-Contour\0429.png
DUTS-TR-Image\0430.jpg DUTS-TR-Contour\0430.png
DUTS-TR-Image\0432.jpg DUTS-TR-Contour\0432.png
DUTS-TR-Image\0433.jpg DUTS-TR-Contour\0433.png
DUTS-TR-Image\0434.jpg DUTS-TR-Contour\0434.png
DUTS-TR-Image\0435.jpg DUTS-TR-Contour\0435.png
DUTS-TR-Image\0436.jpg DUTS-TR-Contour\0436.png
DUTS-TR-Image\0437.jpg DUTS-TR-Contour\0437.png
DUTS-TR-Image\0438.jpg DUTS-TR-Contour\0438.png
DUTS-TR-Image\0440.jpg DUTS-TR-Contour\0440.png
DUTS-TR-Image\0441.jpg DUTS-TR-Contour\0441.png
DUTS-TR-Image\0442.jpg DUTS-TR-Contour\0442.png
DUTS-TR-Image\0443.jpg DUTS-TR-Contour\0443.png
DUTS-TR-Image\0445.jpg DUTS-TR-Contour\0445.png
DUTS-TR-Image\0446.jpg DUTS-TR-Contour\0446.png
DUTS-TR-Image\0447.jpg DUTS-TR-Contour\0447.png
DUTS-TR-Image\0449.jpg DUTS-TR-Contour\0449.png
DUTS-TR-Image\0450.jpg DUTS-TR-Contour\0450.png
DUTS-TR-Image\0451.jpg DUTS-TR-Contour\0451.png
DUTS-TR-Image\0452.jpg DUTS-TR-Contour\0452.png
DUTS-TR-Image\0453.jpg DUTS-TR-Contour\0453.png
DUTS-TR-Image\0454.jpg DUTS-TR-Contour\0454.png
DUTS-TR-Image\0456.jpg DUTS-TR-Contour\0456.png
DUTS-TR-Image\0457.jpg DUTS-TR-Contour\0457.png
DUTS-TR-Image\0458.jpg DUTS-TR-Contour\0458.png
DUTS-TR-Image\0459.jpg DUTS-TR-Contour\0459.png
DUTS-TR-Image\0460.jpg DUTS-TR-Contour\0460.png
DUTS-TR-Image\0461.jpg DUTS-TR-Contour\0461.png
DUTS-TR-Image\0462.jpg DUTS-TR-Contour\0462.png
DUTS-TR-Image\0463.jpg DUTS-TR-Contour\0463.png
DUTS-TR-Image\0464.jpg DUTS-TR-Contour\0464.png
DUTS-TR-Image\0469.jpg DUTS-TR-Contour\0469.png
DUTS-TR-Image\0471.jpg DUTS-TR-Contour\0471.png
DUTS-TR-Image\0473.jpg DUTS-TR-Contour\0473.png
DUTS-TR-Image\0475.jpg DUTS-TR-Contour\0475.png
DUTS-TR-Image\0476.jpg DUTS-TR-Contour\0476.png
DUTS-TR-Image\0478.jpg DUTS-TR-Contour\0478.png
DUTS-TR-Image\0479.jpg DUTS-TR-Contour\0479.png
DUTS-TR-Image\0480.jpg DUTS-TR-Contour\0480.png
DUTS-TR-Image\0481.jpg DUTS-TR-Contour\0481.png
DUTS-TR-Image\0483.jpg DUTS-TR-Contour\0483.png
DUTS-TR-Image\0485.jpg DUTS-TR-Contour\0485.png
DUTS-TR-Image\0486.jpg DUTS-TR-Contour\0486.png
DUTS-TR-Image\0487.jpg DUTS-TR-Contour\0487.png
DUTS-TR-Image\0488.jpg DUTS-TR-Contour\0488.png
DUTS-TR-Image\0489.jpg DUTS-TR-Contour\0489.png
DUTS-TR-Image\0490.jpg DUTS-TR-Contour\0490.png
DUTS-TR-Image\0491.jpg DUTS-TR-Contour\0491.png
DUTS-TR-Image\0492.jpg DUTS-TR-Contour\0492.png
DUTS-TR-Image\0493.jpg DUTS-TR-Contour\0493.png
DUTS-TR-Image\0494.jpg DUTS-TR-Contour\0494.png
DUTS-TR-Image\0495.jpg DUTS-TR-Contour\0495.png
DUTS-TR-Image\0496.jpg DUTS-TR-Contour\0496.png
DUTS-TR-Image\0497.jpg DUTS-TR-Contour\0497.png
DUTS-TR-Image\0500.jpg DUTS-TR-Contour\0500.png
DUTS-TR-Image\0501.jpg DUTS-TR-Contour\0501.png
DUTS-TR-Image\0502.jpg DUTS-TR-Contour\0502.png
DUTS-TR-Image\0503.jpg DUTS-TR-Contour\0503.png
DUTS-TR-Image\0505.jpg DUTS-TR-Contour\0505.png
DUTS-TR-Image\0507.jpg DUTS-TR-Contour\0507.png
DUTS-TR-Image\0508.jpg DUTS-TR-Contour\0508.png
DUTS-TR-Image\0511.jpg DUTS-TR-Contour\0511.png
DUTS-TR-Image\0514.jpg DUTS-TR-Contour\0514.png
DUTS-TR-Image\0517.jpg DUTS-TR-Contour\0517.png
DUTS-TR-Image\0518.jpg DUTS-TR-Contour\0518.png
DUTS-TR-Image\0519.jpg DUTS-TR-Contour\0519.png
DUTS-TR-Image\0521.jpg DUTS-TR-Contour\0521.png
DUTS-TR-Image\0523.jpg DUTS-TR-Contour\0523.png
DUTS-TR-Image\0524.jpg DUTS-TR-Contour\0524.png
DUTS-TR-Image\0526.jpg DUTS-TR-Contour\0526.png
DUTS-TR-Image\0527.jpg DUTS-TR-Contour\0527.png
DUTS-TR-Image\0528.jpg DUTS-TR-Contour\0528.png
DUTS-TR-Image\0529.jpg DUTS-TR-Contour\0529.png
DUTS-TR-Image\0531.jpg DUTS-TR-Contour\0531.png
DUTS-TR-Image\0533.jpg DUTS-TR-Contour\0533.png
DUTS-TR-Image\0534.jpg DUTS-TR-Contour\0534.png
DUTS-TR-Image\0535.jpg DUTS-TR-Contour\0535.png
DUTS-TR-Image\0537.jpg DUTS-TR-Contour\0537.png
DUTS-TR-Image\0538.jpg DUTS-TR-Contour\0538.png
DUTS-TR-Image\0539.jpg DUTS-TR-Contour\0539.png
DUTS-TR-Image\0540.jpg DUTS-TR-Contour\0540.png
DUTS-TR-Image\0541.jpg DUTS-TR-Contour\0541.png
DUTS-TR-Image\0543.jpg DUTS-TR-Contour\0543.png
DUTS-TR-Image\0544.jpg DUTS-TR-Contour\0544.png
DUTS-TR-Image\0545.jpg DUTS-TR-Contour\0545.png
DUTS-TR-Image\0546.jpg DUTS-TR-Contour\0546.png
DUTS-TR-Image\0547.jpg DUTS-TR-Contour\0547.png
DUTS-TR-Image\0549.jpg DUTS-TR-Contour\0549.png
DUTS-TR-Image\0551.jpg DUTS-TR-Contour\0551.png
DUTS-TR-Image\0552.jpg DUTS-TR-Contour\0552.png
DUTS-TR-Image\0553.jpg DUTS-TR-Contour\0553.png
DUTS-TR-Image\0554.jpg DUTS-TR-Contour\0554.png
DUTS-TR-Image\0556.jpg DUTS-TR-Contour\0556.png
DUTS-TR-Image\0557.jpg DUTS-TR-Contour\0557.png
DUTS-TR-Image\0559.jpg DUTS-TR-Contour\0559.png
DUTS-TR-Image\0560.jpg DUTS-TR-Contour\0560.png
DUTS-TR-Image\0561.jpg DUTS-TR-Contour\0561.png
DUTS-TR-Image\0562.jpg DUTS-TR-Contour\0562.png
DUTS-TR-Image\0563.jpg DUTS-TR-Contour\0563.png
DUTS-TR-Image\0564.jpg DUTS-TR-Contour\0564.png
DUTS-TR-Image\0565.jpg DUTS-TR-Contour\0565.png
DUTS-TR-Image\0566.jpg DUTS-TR-Contour\0566.png
DUTS-TR-Image\0567.jpg DUTS-TR-Contour\0567.png
DUTS-TR-Image\0568.jpg DUTS-TR-Contour\0568.png
DUTS-TR-Image\0570.jpg DUTS-TR-Contour\0570.png
DUTS-TR-Image\0571.jpg DUTS-TR-Contour\0571.png
DUTS-TR-Image\0572.jpg DUTS-TR-Contour\0572.png
DUTS-TR-Image\0574.jpg DUTS-TR-Contour\0574.png
DUTS-TR-Image\0575.jpg DUTS-TR-Contour\0575.png
DUTS-TR-Image\0576.jpg DUTS-TR-Contour\0576.png
DUTS-TR-Image\0578.jpg DUTS-TR-Contour\0578.png
DUTS-TR-Image\0579.jpg DUTS-TR-Contour\0579.png
DUTS-TR-Image\0580.jpg DUTS-TR-Contour\0580.png
DUTS-TR-Image\0581.jpg DUTS-TR-Contour\0581.png
DUTS-TR-Image\0582.jpg DUTS-TR-Contour\0582.png
DUTS-TR-Image\0583.jpg DUTS-TR-Contour\0583.png
